Unnamed: 0,event_id,datetime,dm,RA,Dec,is_in_DESI
3228,51114986,2019-08-25 14:30:58.721344 UTC+0000,242.6245574951,71.3177218381,49.2852978876,False
3229,51108560,2019-08-25 13:31:17.750415 UTC+0000,48.5249137878,56.0626307294,6.6802444617,False
3230,51104301,2019-08-25 13:00:52.976517 UTC+0000,708.4637451172,49.4271681439,51.5779521056,False
3231,51101285,2019-08-25 11:53:44.856087 UTC+0000,347.7618713379,32.9265922184,65.7317435611,False
3232,51101221,2019-08-25 11:52:13.000829 UTC+0000,451.2816772461,30.797558489,57.7881745796,False
3233,51101217,2019-08-25 11:52:03.013140 UTC+0000,346.1443786621,29.4682030314,65.719760569,False
3234,51101068,2019-08-25 11:48:27.640875 UTC+0000,347.7618713379,29.6244637792,65.7312997227,False
3235,51089437,2019-08-25 09:08:10.725706 UTC+0000,29.1149482727,350.954622679,12.1914650566,True
3236,51079005,2019-08-25 07:54:43.309120 UTC+0000,48.5249137878,332.5756920114,21.389146596,True
3237,51078197,2019-08-25 07:41:56.679477 UTC+0000,635.6763305664,327.2468974561,77.9242339234,False
3238,51048984,2019-08-25 04:26:04.302584 UTC+0000,435.1067199707,279.2974284251,50.4607190578,True
3239,50986684,2019-08-24 22:50:46.601321 UTC+0000,401.1392822266,195.7723643913,43.2058079305,True
3240,50985743,2019-08-24 21:44:19.280980 UTC+0000,376.8768310547,176.6813202168,80.3763924414,True
3241,50978631,2019-08-24 21:15:55.790625 UTC+0000,3060.3044433594,171.0681713724,22.0092411042,True
3242,50978168,2019-08-24 20:44:29.627845 UTC+0000,583.9164428711,164.5122438983,-9.0551479383,True
3243,50927982,2019-08-24 13:05:04.069511 UTC+0000,2287.1408691406,48.4413612808,80.1934517477,False
3244,50921752,2019-08-24 11:20:08.067934 UTC+0000,186.0121612549,206.0831205617,82.6720433649,True
3245,50920319,2019-08-24 10:10:45.058685 UTC+0000,575.8289794922,5.6728812816,25.2597325068,True
3246,50917713,2019-08-24 09:12:13.309504 UTC+0000,671.2612915039,168.0838527435,79.7042742978,True
3247,50912643,2019-08-24 08:41:25.257218 UTC+0000,1596.4696044922,341.4149673692,55.4240672817,False
3248,50909512,2019-08-24 07:59:01.574371 UTC+0000,397.904296875,331.792668901,17.3765821706,True
3249,50877202,2019-08-24 02:28:13.414812 UTC+0000,1937.7614746094,250.096485511,52.0661211859,True
3250,50787442,2019-08-23 09:22:19.618101 UTC+0000,1437.9549560547,171.7982018493,87.1428782321,False
3251,50776089,2019-08-23 08:02:29.555161 UTC+0000,46.9074134827,332.5528339452,21.3892363805,True
3252,50719180,2019-08-22 23:21:05.368842 UTC+0000,1627.2020263672,200.871309666,41.6490811394,True
3253,50574834,2019-08-21 23:21:50.479567 UTC+0000,533.7740478516,194.7791232674,82.1592229434,True
3254,50542754,2019-08-21 18:37:02.491855 UTC+0000,163.3672027588,129.3456834595,3.5906914319,True
3255,50509856,2019-08-21 14:24:37.321484 UTC+0000,522.4515380859,63.542622959,77.9933324457,False
3256,50489050,2019-08-21 10:22:21.038226 UTC+0000,296.001953125,4.0571196967,41.821812106,False
3257,50433302,2019-08-21 04:43:58.132226 UTC+0000,350.9968566895,280.462698712,48.9112987042,True
3258,50258832,2019-08-20 05:51:24.530322 UTC+0000,1520.447265625,296.7765826284,26.1683447196,False
3259,50248267,2019-08-20 04:02:41.816125 UTC+0000,845.9509887695,269.0911870813,37.6076681956,True
3260,50018694,2019-08-19 10:27:20.450583 UTC+0000,823.3060302734,5.1717299601,54.2468258006,False
3261,49971229,2019-08-19 04:53:12.710310 UTC+0000,304.0894470215,279.9290179323,66.6131830617,True
3262,49918509,2019-08-18 21:54:35.472079 UTC+0000,266.8870239258,176.429786152,52.1397351723,True
3263,49808190,2019-08-18 12:30:20.596838 UTC+0000,462.6041564941,35.5972202832,74.0233054045,False
3264,49787747,2019-08-18 08:02:49.000673 UTC+0000,554.8015136719,326.4606716756,63.2951126159,False
3265,49758447,2019-08-18 05:51:33.796457 UTC+0000,680.9662475586,294.1255058258,36.3751941087,False
3266,49712550,2019-08-17 23:21:10.123806 UTC+0000,575.8289794922,195.5081796678,32.9122390396,True
3267,49677623,2019-08-17 22:19:17.488437 UTC+0000,1046.5206298828,180.106195095,61.9269778982,True
3268,49473791,2019-08-17 08:01:22.619965 UTC+0000,302.4719543457,325.618635781,49.2294001065,False
3269,49438748,2019-08-17 02:30:21.106793 UTC+0000,433.4892272949,243.7459734719,53.2437866347,True
3270,49422776,2019-08-16 23:42:45.740052 UTC+0000,826.541015625,209.5109496623,86.886680868,False
3271,49233560,2019-08-16 05:03:14.066352 UTC+0000,884.7708740234,279.8685381211,7.1449081961,False
3272,49201752,2019-08-15 23:10:09.727367 UTC+0000,700.3762207031,192.5414975192,55.2538453179,True
3273,49130836,2019-08-15 15:29:41.364574 UTC+0000,1492.9498291016,74.7973989119,70.7182945613,False
3274,49052761,2019-08-15 01:56:35.967713 UTC+0000,803.8960571289,231.1741668998,53.2617211685,True
3275,48866177,2019-08-14 03:02:46.742507 UTC+0000,1067.5480957031,245.5405496583,73.2982159575,True
3276,48851362,2019-08-14 00:39:29.043210 UTC+0000,376.8768310547,210.8556973208,74.6433866945,True
3277,48828460,2019-08-13 21:57:43.528614 UTC+0000,409.226776123,355.6668113472,78.201213466,False
3278,48803849,2019-08-13 18:37:00.486453 UTC+0000,250.7120513916,121.1379764441,54.8079378701,True
3279,48723151,2019-08-13 08:00:29.728483 UTC+0000,1918.3515625,138.621890449,80.8989165402,True
3280,48663385,2019-08-13 05:42:52.050923 UTC+0000,561.271484375,283.1444828037,85.8262902831,False
3281,47867835,2019-08-12 10:37:03.439506 UTC+0000,811.9835205078,359.3428458187,51.5390778345,False
3282,47867526,2019-08-12 10:25:20.793968 UTC+0000,341.2918701172,357.6954331205,31.0646803314,True
3283,47831457,2019-08-12 04:35:15.950226 UTC+0000,253.9470367432,268.1307673935,50.8643133288,True
3284,47816614,2019-08-11 23:50:02.875333 UTC+0000,949.4707641602,199.3079209702,72.5197407592,True
3285,47799732,2019-08-11 20:33:02.534986 UTC+0000,446.4291992188,147.5184526655,18.4614262886,True
3286,47784557,2019-08-11 17:53:57.594073 UTC+0000,800.6610717773,108.0022777863,29.9837426308,True
3287,47721306,2019-08-11 06:09:01.079104 UTC+0000,1111.2204589844,291.3992046775,-3.7007438481,False
3288,47591405,2019-08-10 14:07:07.225377 UTC+0000,774.7811279297,50.2758355618,45.6069995202,False
3289,47566805,2019-08-10 08:57:08.942195 UTC+0000,837.8634643555,333.5616825342,40.6537560534,False
3290,47566582,2019-08-10 08:55:40.091107 UTC+0000,72.7873687744,331.671503496,29.4536941508,True
3291,47538242,2019-08-10 04:55:48.825909 UTC+0000,393.0517883301,273.1002059527,39.1842723531,True
