event_id,dm,RA,Dec,is_in_DESI,DMhalo,DMISM,DM_Cosm,z
3087,717.7643432617 pc / cm3,154.9878322993,3.0547612934,True,40.0 pc / cm3,38.567183141482566 pc / cm3,639.1971601202174 pc / cm3,0.5958137070617733
3088,719.7861938477 pc / cm3,21.9233113404,9.8957387716,True,40.0 pc / cm3,35.54137929675766 pc / cm3,644.2448145509424 pc / cm3,0.6011486239747608
3089,315.0075683594 pc / cm3,188.0386921817,65.0864838446,True,40.0 pc / cm3,33.51941363192786 pc / cm3,241.48815472747214 pc / cm3,0.16502863803480483
3090,619.5014038086 pc / cm3,254.8091073914,53.6237148827,True,40.0 pc / cm3,40.15311869593886 pc / cm3,539.3482851126612 pc / cm3,0.48991686302414017
3091,690.6712646484 pc / cm3,183.7807559671,69.9247082009,True,40.0 pc / cm3,35.80768263762094 pc / cm3,614.863582010779 pc / cm3,0.570074030976551
3092,2074.8444824219 pc / cm3,173.1748462639,65.1421560346,True,40.0 pc / cm3,34.71673778214604 pc / cm3,2000.127744639754 pc / cm3,2.0391564120217067
3093,380.1118164062 pc / cm3,186.0590097652,68.7894890834,True,40.0 pc / cm3,35.7135781746918 pc / cm3,304.3982382315082 pc / cm3,0.23547296776457607
3094,380.1118164062 pc / cm3,266.1833196386,47.8193950216,True,40.0 pc / cm3,47.4342893941414 pc / cm3,292.6775270120586 pc / cm3,0.2224522791325288
3095,871.0221557617 pc / cm3,203.6427401967,44.8430640172,True,40.0 pc / cm3,26.87405293944528 pc / cm3,804.1481028222547 pc / cm3,0.7696316368572079
3096,1370.0200195312 pc / cm3,224.5944699276,13.2784305434,True,40.0 pc / cm3,24.77765769892896 pc / cm3,1305.242361832271 pc / cm3,1.2966581043902523
3097,104.7329330444 pc / cm3,15.3196131453,79.9146649051,False,40.0 pc / cm3,81.2543615038993 pc / cm3,0,
3098,404.7786560059 pc / cm3,197.2958926768,2.8531609661,True,40.0 pc / cm3,28.459931740267123 pc / cm3,336.3187242656329 pc / cm3,0.27072546815805393
3099,200.9740142822 pc / cm3,5.6728812816,33.3328087459,True,40.0 pc / cm3,51.48522657398146 pc / cm3,109.48878770821852 pc / cm3,0.011233237221235435
3100,439.5548400879 pc / cm3,264.5444890198,61.8162491947,True,40.0 pc / cm3,45.0305920708842 pc / cm3,354.5242480170158 pc / cm3,0.2907070022093224
3101,452.8991699219 pc / cm3,31.7938759081,43.9199317457,False,40.0 pc / cm3,83.1092140531427 pc / cm3,329.7899558687573 pc / cm3,0.26353863284277096
3102,1971.3245849609 pc / cm3,188.7548438789,29.2063690916,True,40.0 pc / cm3,19.813150875963967 pc / cm3,1911.5114340849361 pc / cm3,1.9427586482209804
3103,271.7395019531 pc / cm3,9.350584581,79.9059907676,False,40.0 pc / cm3,81.22706896952661 pc / cm3,150.51243298357338 pc / cm3,0.06012353341027437
3104,1298.4458007812 pc / cm3,345.3391000543,64.2657698558,False,40.0 pc / cm3,199.8738426832442 pc / cm3,1058.5719580979558 pc / cm3,1.0372153842691652
3105,1350.6101074219 pc / cm3,287.794667868,39.2907632153,False,40.0 pc / cm3,103.67002229269949 pc / cm3,1206.9400851292005 pc / cm3,1.1932269067901726
3106,304.8981933594 pc / cm3,143.5838625381,77.9874851861,True,40.0 pc / cm3,45.25231033014385 pc / cm3,219.64588302925617 pc / cm3,0.14021235789901104
3107,524.473449707 pc / cm3,350.8859221636,69.4122858556,False,40.0 pc / cm3,144.6196189334129 pc / cm3,339.8538307735871 pc / cm3,0.27461212922698314
3108,695.5237426758 pc / cm3,200.3675216081,40.374064606,True,40.0 pc / cm3,23.903133355813416 pc / cm3,631.6206093199866 pc / cm3,0.5878032285119025
3109,1119.7124023438 pc / cm3,216.2497715962,12.1934247574,True,40.0 pc / cm3,23.48883164901715 pc / cm3,1056.223570694783 pc / cm3,1.03474478813849
3110,735.9611816406 pc / cm3,94.4239087689,59.1328572425,True,40.0 pc / cm3,76.0052679332187 pc / cm3,619.9559137073813 pc / cm3,0.5754636849616585
