event_id,dm,RA,Dec,DMhalo,DMISM,DM_Cosm,z
71,443.5985717773 pc / cm3,191.5243319199,20.1683287118,40.0 pc / cm3,75.0 pc / cm3,228.59857177729998 pc / cm3,0.26222590979410837
72,627.1845092773 pc / cm3,158.8250749829,40.3884687834,40.0 pc / cm3,75.0 pc / cm3,412.1845092773 pc / cm3,0.46095310704754383
73,412.4617614746 pc / cm3,262.4262692943,82.0606897479,40.0 pc / cm3,75.0 pc / cm3,197.4617614746 pc / cm3,0.22777240759213488
74,222.4058532715 pc / cm3,26.1249185079,62.3088548814,40.0 pc / cm3,75.0 pc / cm3,7.405853271500007 pc / cm3,0.00871852335855317
75,564.5064697266 pc / cm3,24.8041550535,39.1838220491,40.0 pc / cm3,75.0 pc / cm3,349.5064697266 pc / cm3,0.3937726685459013
76,300.8544616699 pc / cm3,139.1188555003,81.2766416998,40.0 pc / cm3,75.0 pc / cm3,85.85446166989999 pc / cm3,0.10138475525073261
77,1169.4504394531 pc / cm3,257.4291181255,26.8239585688,40.0 pc / cm3,75.0 pc / cm3,954.4504394531 pc / cm3,1.0328793279316124
78,553.5883789062 pc / cm3,33.6257217817,58.1155398129,40.0 pc / cm3,75.0 pc / cm3,338.5883789062 pc / cm3,0.3820115803102932
79,435.1067199707 pc / cm3,136.9751204785,52.8436124704,40.0 pc / cm3,75.0 pc / cm3,220.1067199707 pc / cm3,0.25285770798456625
80,1319.8372802734 pc / cm3,179.941292818,46.7288183662,40.0 pc / cm3,75.0 pc / cm3,1104.8372802734 pc / cm3,1.1910156783883377
81,349.7837524414 pc / cm3,293.6141342442,83.5864182236,40.0 pc / cm3,75.0 pc / cm3,134.7837524414 pc / cm3,0.15743314017864637
82,1616.6883544922 pc / cm3,357.0596351546,21.044019003,40.0 pc / cm3,75.0 pc / cm3,1401.6883544922 pc / cm3,1.504057134149146
83,1188.8603515625 pc / cm3,238.4166623415,65.1158438553,40.0 pc / cm3,75.0 pc / cm3,973.8603515625 pc / cm3,1.0532974627382659
84,314.1988220215 pc / cm3,177.3847226765,46.398308348,40.0 pc / cm3,75.0 pc / cm3,99.1988220215 pc / cm3,0.11678528665668703
85,671.2612915039 pc / cm3,26.3876068538,80.3310566353,40.0 pc / cm3,75.0 pc / cm3,456.2612915039 pc / cm3,0.5079121516775902
86,819.6666259766 pc / cm3,157.8510802682,3.4236054796,40.0 pc / cm3,75.0 pc / cm3,604.6666259766 pc / cm3,0.6649120956502648
87,840.6940917969 pc / cm3,206.2952722339,39.8516992954,40.0 pc / cm3,75.0 pc / cm3,625.6940917969 pc / cm3,0.6870682177836543
88,512.7465820312 pc / cm3,73.6633237838,23.1314654616,40.0 pc / cm3,75.0 pc / cm3,297.7465820312 pc / cm3,0.33783131548437806
89,666.0043945312 pc / cm3,212.1678455367,81.6438590625,40.0 pc / cm3,75.0 pc / cm3,451.0043945312 pc / cm3,0.5023218102316602
90,340.0787658691 pc / cm3,8.5474883459,32.4353874858,40.0 pc / cm3,75.0 pc / cm3,125.07876586909998 pc / cm3,0.1464043782493102
91,495.3584899902 pc / cm3,11.3214544358,56.2317583223,40.0 pc / cm3,75.0 pc / cm3,280.3584899902 pc / cm3,0.3189232211827345
92,1010.9356689453 pc / cm3,110.9879112728,78.9238452798,40.0 pc / cm3,75.0 pc / cm3,795.9356689453 pc / cm3,0.8661318600229212
93,409.226776123 pc / cm3,10.5538444414,71.0519293679,40.0 pc / cm3,75.0 pc / cm3,194.22677612299998 pc / cm3,0.22417586942395953
94,282.657623291 pc / cm3,311.2654187059,75.4613491314,40.0 pc / cm3,75.0 pc / cm3,67.657623291 pc / cm3,0.08023042279867812
95,331.5869140625 pc / cm3,17.4885406877,55.642973064,40.0 pc / cm3,75.0 pc / cm3,116.5869140625 pc / cm3,0.13672008485129708
96,451.2816772461 pc / cm3,188.0386921817,61.8747986544,40.0 pc / cm3,75.0 pc / cm3,236.2816772461 pc / cm3,0.27068471877597966
97,479.9922485352 pc / cm3,192.4136459816,55.5835564718,40.0 pc / cm3,75.0 pc / cm3,264.9922485352 pc / cm3,0.3021588837107149
98,430.6585998535 pc / cm3,35.1318816788,16.7775910297,40.0 pc / cm3,75.0 pc / cm3,215.6585998535 pc / cm3,0.24794233747410235
